Concept,Count,Swadesh
3034_GREEN_COCONUT,9,
2229_matoa,9,
1358_ENEMY,9,
430_TWIST,9,
1729_PLAIT_OR_BRAID_OR_WEAVE,9,
2393_sagotrough,9,
498_medialverbsuffixds,9,
1945_interrogative,9,
614_HILL,9,
1617_discclub,9,
785_STRONG,9,
1584_canoeplatform,9,
1697_odour,9,
1721_reciprocalaction,9,
1563_bit,9,
1707_TWELVE,9,
1708_THIRTEEN,9,
2451_FOURTEEN,9,
1709_FIFTEEN,9,
2454_SIXTEEN,9,
2453_SEVENTEEN,9,
1713_EIGHTEEN,9,
1714_NINETEEN,9,
496_CUCUMBER,8,
1826_ANGRY,8,
2506_LOOSE,8,
1563_PYTHON,8,
473_SPEAR_SOMEBODY,8,
1075_TRAP_PITFALL,8,
837_BLUE,8,
2210_sagopancake,8,
2214_shortthings,8,
1966_shootplant,8,
687_NOTHING,8,
2423_movement,8,
2410_coconutshell,8,
2407_sunlight,8,
3280_TUSK,8,
2403_firetongs,8,
2503_theredistant,8,
840_immediateimperativepluralverbsuffix,8,
2670_ACROSS,8,
2671_PENIS_SHEATH,8,
3220_MATERNAL_UNCLE,8,
1604_cowrie,8,
1977_DEW,8,
88_BEEHIVE,8,
1738_sheath,8,
3843_BUT,8,
1640_SIBLING,8,
52_SHIVER,7,
847_THIRSTY,7,
389_FISH_TRAP,7,
1276_treekangaroo,7,
1780_BILE,7,
2265_tosuckatbreast,7,
2235_umbilicalcord,7,
201_FARM,7,
3162_CROSS-COUSIN,7,
1669_ANCESTORS,7,
863_EDGE,7,
2434_gall,7,
1195_GIVE_BIRTH,7,
1745_HIP,7,
796_NIPPLE,7,
1227_BOARD,7,
2413_seasidewest,7,
2975_THOUGHT,7,
2392_sagopith,7,
2497_notknow,7,
411_GOURD,7,
1588_tocastnet,7,
1010_BOUNDARY,7,
870_BREATH,7,
1668_irontool,7,
779_PART,7,
1710_pigeonparrot,7,
1776_urchin,7,
1681_WAIST,7,
1910_therefore,7,
1046_SHUT,7,
95_SANDFLY,7,
1552_anattolipsticktree,7,
1750_CHOOSE,7,
307_HAWK,6,
191_NUT,6,
1617_GRANDCHILD,6,
1222_fishspcatfish,6,
2274_innermouth,6,
1137_TENDON,6,
2301_1ppaucal,6,
2421_crust,6,
2431_distribution,6,
2451_tomakethatch,6,
1105_CAMP,6,
355_CUT_DOWN,6,
613_HIGH_TIDE,6,
2449_knotinwood,6,
2443_livelybusy,6,
33_NETTLE,6,
2453_togiveanorder,6,
2437_totremble,6,
